word,with-error
,aparecida
a-ra-me,
a-ra-pon-ga,
a-ma-re-lo,
ba-bá,
ba-lão,
ba-lé,
ba-na-na,
ba-ta-ta,
be-co,
be-la,
be-lo,
be-sou-ro,
bi-cho,
bi-co,
bi-la,
bo-ca,
boi,
bo-né,
bo-ta,
bo-la,
bo-lo,
,bu
,bão
ca-be-lo,
ca-bi-de,
ca-bra,
ca-bri-to,
ca-chor-ro,
ca-já,
ca-jú,
cal,
ca-lo,
ca-ma,
ca-me-lo,
ca-ne-co,
ca-ne-ta,
ca-no,
,car
ca-ran-gue-jo,
ca-re-ta,
ca-sa,
ca-sa-co,
ca-va-lo,
ce-a-rá,
ce-cí-lia,
ce-lei-ro,
ce-lu-lar,
ci-men-to,
ci-pó,
co-la,
co-le-ta,
co-le-te,
co-lher,
co-lo,
co-lí-rio,
co-mi-da,
co-ra-ção,
cor-dei-ro,
cu-ca,
cu-ru-pi-ra,
cão,
céu,
cô-co,
e-co-lo-gi-a,
e-ma,
fa-da,
fe-ra,
fu-la-no,
,fão
ga-to,
ge-lei-a,
gi-nás-ti-ca,
gi-ra-fa,
gi-ra-sol,
go-ma,
go-ri-la,
gér-be-ra,
i-a-ra,
ja-bo-ti,
ja-ca,
ja-ca-ré,
ja-ne-la,
ja-pão,
ja-que-ta,
jar-ro,
ji-ló,
ji-pe,
jo-ca,
ju-ju-ba,
ju-men-to,
,jão
la-gar-ta,
la-gar-ti-xa,
la-go-a,
la-ma,
lá-pis,
la-ta,
la-ço,
lei-te,
le-me,
le-o-a,
le-o-par-do,
le-tra,
le-ve,
le-ão,
li-bé-lu-la,
li-ma,
li-mão,
li-vro,
li-xa,
li-xo,
li-ção,
,lo-ba-to
lo-cal,
lo-to,
lo-ção,
lu-a,
lu-gar,
lu-ne-ta,
lu-ta,
,lão
ma-la,
ma-mão,
ma-mí-fe-ro,
ma-ra-cu-já,
ma-ça,
me-lão,
mo-la,
mo-le,
mo-lho,
mo-to,
mu-la,
mão,
na-riz,
na-tal,
na-ta-ção,
ne-bli-na,
ne-bli-nar,
ne-gó-cio,
ne-gro,
ne-to,
ne-ve,
ni-ce,
ni-nar,
no-tí-cia,
no-vi-da-de,
no-vo,
nu-vem,
não,
nú-me-ro,
pa-cu,
pa-li-to,
pa-no,
pa-ra-cu-ru,
pa-ra-le-le-pi-pe-do,
pa-vão,
pás-sa-ro
pe-dra,
pe-lé,
pe-ri-go,
pe-ru,
pe-te-ca,
pi-co-lé,
pi-lão,
pi-a-no,
pin,
pi-po-ca,
pi-ru-li-to,
pi-rão,
po-le-gar,
po-mar,
po-te,
po-ço,
pu-lo,
pão,
pé,
pé-ro-la,
rai-o,
ra-po-sa,
ra-que-te,
re-fri-ge-ran-te
he-li-cóp-te-ro,
lo-bo,
re-co-re-co,
re-de,
re-ló-gio,
re-mé-dio,
re-ta,
ri-no-ce-ron-te,
ro-ma,
rã,
,rão
ré-gua,
sa-bi-á,
sa-ci pe-re-rê,
sai-a,
sa-pa-ti-lha,
san-du-í-che,
se-le-ção,
si-lên-cio,
si-nal,
so-cor-ro,
sol,
so-nhar,
su-bir,
são,
ta-ci-a-na,
tai-pa,
ta-pe-te,
ta-pi-o-ca,
ta-ti-a-na,
ta-tu,
ta-xi,
te-a-tro,
,tel
te-lha-do,
te-re-sa,
te-to,
ti-ge-la,
ti-jo-lo,
ti-me,
titio,
to-ma-te,
,tão
xa-drez,
xa-le,
xa-ro-pe,
xa-xim,
xu-xa,
ze-bra,
ze-ro,
,zul
,zão
vis-con-de,
ca-ne-ca,
so-ne-ca,
e-mí-li-a,
CU-CA,
NA-RI-ZI-NHO,
PE-DRI-NHO,
SA-CI,
SÍ-TIO,
bo-ne-ca,
FRU-TA,
FRU-TAS,
ÁR-VO-RE- -FRU-TÍ-FE-RA,
BA-NA-NA,
BA-NA-NEI-RA,
GOI-A-BA,
GOI-A-BEI-RA,
JA-BU-TI-CA-BA,
JA-BU-TI-CA-BEI-RA,
DO-NA,
PES-SO-AS,
BO-NE-COS,
VA-CA,
NA-DA,
NA-TA,
MA-ÇÃ,
la-go,
ir-mã,
ti-a,
tu-ca-no,
car-ro,
BU-QUÊ,
PA-TO,
MA-CA-CO,
A-RA-RA,
RA-TO,
CO-E-LHO,
O-VE-LHA,
SA-PO,
NO-ME,
CAN-ÇÃO,
BI-LHE-TE,
RE-CEI-TA,
CON-VI-TE,
o-ce-a-no,
pa-ne-la,
jo-ão,
NA-VI-O,
NO-VE-LO,
MEL,
ME-SA,
ME-NI-NO,
SO-BRE-NO-ME,
GE-RA-ÇÃO,
PA-PE-LÃO,
CEM,
LIS-TA,
RO-SA,
FA-MÍ-LI-A,
HIS-TÓ-RI-A,
tou-ro,
CA-JU,
SE-RI-GUE-LA,
DO-CES,
CHO-CO-LA-TE,
SOR-VE-TE,
BA-LA,
I-SA-Í-AS,
JU-RAN-DIR,
FA-ZEN-DA,
MÉ-DI-CO,
VA-QUEI-RO,
VO-GAIS,
NÚ-ME-ROS,
PAI,
A-ÇÚ-CAR,
FA-RI-NHA,
Ó-LEO,
XÍ-CA-RA,
O-VO,
CO-LHEI-TA,
EN-FEI-TA,
CHU-VA,
FER-MEN-TO,
CA-NE-LA,
FRI-TAR,
BO-LI-NHO,
BEN-TA,
TI-A NAS-TÁ-CIA,
NAS-TÁ-CIA,
NO-MES,
ES-CO-LA,
PRA-ÇA,
E-LI-TE,
LI-MI-TE,
GRA-FI-TE,
PRE-SEN-TE,
A-NI-VER-SÁ-RIO,
A-NO,
A-PI-TO,
PA-RA-BÉNS,
CON-CHA,
CON-FEI-TO,
CO-RO-A,
A-LE-GRI-A,
PAR-LEN-DA,
A-MI-GO,
A-MI-GOS,
GEN-TIL,
A-MAR,
PAZ,
SA-Ú-DE,
TRA-BA-LHO,
SE-GUN-DO,
PRO-FUN-DO,
A-TEN-TO,
SER,
TER,
DO-CE,
A-MA-DO,
PRA-ZER,
MUN-DO,
QUE-RI-DO,
VER-DA-DEI-RO,
PA-CI-EN-TE,
VI-O-LÃO,
VI-NHO,
VI-DRO,
VI-Ú-VA,
VE-LA,
VE-A-DO,
VE-LHO,
VE-NE-NO,
BEM,
VI-DA,
GOS-TAR,
DI-VER-TI-DO,
DE-CI-DI-DO,
BON-DO-SO,
CHEI-O,
VI-VER,
SAU-DA-DE,
PE-GA- -VA-RE-TAS,
DA-MA,
TRI-LHAS,
VA-RE-TAS,
CO-LO-RI-DOS,
PA-PEL,
DO-MI-NÓ,
DA-MA,
BA-RA-LHO,
CO-LE-GA,
BO-DE-GA,
CE-GA,
BOR-BO-LE-TA,
JO-GO,
PA-LI-TOS,
JO-GO- -DA- -VE-LHA,
FOR-MI-GA,
A-MI-GA,
PE-GA,
LU-DO,
PI-ÃO,
PAR-LEN-DA,
um,
dois,
três,
qua-tro,
cin-co,
seis,
se-te,
oi-to,
no-ve,
dez,
BIS-COI-TO,
AR-ROZ,
PAS-TEL,
FEI-JÃO,
PRA-TO,
PAS-TÉIS,
GRA-TO,
BRIN-CAR,
A-MA-RE-LI-NHA,
E-LÁS-TI-CO,
PE-TE-CA,
COR-DA,
PI-QUE- -ES-CON-DE,
PE-GA- -PE-GA,
CI-RAN-DA,
PI-PA,
BI-CI-CLE-TA,
PA-TI-NE-TE,
PA-TINS,
FU-TE-BOL,
A-RA-NHA,
IO-IÔ,
RE-CI-CLAR,
RE-CI-CLA-GEM,
PLÁS-TI-CO,
SA-CO,
JOR-NAL,
ME-TAL,
CO-PO,
bor-ra-cha,
reu-ti-li-zar,
DEN-GUE,
PU-PA,
MOS-QUI-TO,
LAR-VA,
GAR-RA-FA,
GAR-RA,
RE-VI-STA,
VIS-TA,
VI-STA,
Á-GUA,
DEN-TE,
DEN-TA-DU-RA,
DEN-TU-ÇO,
DEN-TIS-TA,
MOS-CA,
MOS-TAR-DA,
MOS-QUI-TEI-RO,
AM-BI-EN-TE,
PO-LU-I-ÇÃO,
A-LI-MEN-TA-ÇÃO,
FÉ-RI-AS,
CA-LAN-GO,
KA-KÁ,
CA-RA-COL,
ZÉ,
DI-A,
LU-AR,
DES-CAR-TAR,
PEN-TE,
FREN-TE,
DAN-ÇAR,
MO-RAR,
GA-TA,
E-LE-FAN-TE,
TE-JO,
CRI-AN-ÇA,
TEM-PO,
CON-TO,
FÁ-BU-LA,
MÃE,
NI-NO,
PRO-FES-SO-RA,
PI-NO,
PON-TEI-ROS,
BRIN-CA-DEI-RA,
TE-SOU-RA,
TI-GRE,
PA-LHA-ÇO,
PAN-DEI-RO,
PA-PA-GAI-O,
di-ci-o-ná-rio,
RE-VIS-TA,
A-GEN-DA,
CA-DER-NO,
GA-LO,
LI-LI-CA,
JÚ-LI-O,
A-LÍ-PIO,
CO-CO-RI-CÓ,
CA-CO,
MAI-O,
en-sai-o,
GOS-TO-SO,
O-LHA,
TRI-GO,
MI-LHO,
A-BA-CA-XI,
SAM-BA,
CA-FU-NÉ,
POR-TU-GUE-SA,
LÍN-GUA,
CHÁ,
in-dí-ge-na,
CRI-A-TI-VI-DA-DE,
CIN-CO,
UM,
TRÊS,
DOIS,
PE-TE-CA,
SO-LA- -DE- -CHI-NE-LA,
PA-LHA- -DE- -MI-LHO,
BA-NA-NEI-RA,
re-giões,
BA-NA-NA,
chi-ne-la,
PA-TO,
ES-COR-PI-ÃO,
CA-VA-LO,
PA-LHA,
CHI-NE-LO,
CAS-CA- -DE- -BA-NA-NEI-RA,
PA-LHA- -DE- -CÔ-CO,
FLO-RES-TA,
CA-RE-CA,
RE-BE-CA,
BRIN-CA-DEI-RAS,
CA-BO- -DE- -GUER-RA,
CA-BRA- -CE-GA,
MA-CA-CA,
MA-NA- -MU-LA,
BAM-BO-LÊ,
PE-GA- -PE-GA,
PAS-SA- -AN-EL,
PU-LA,
GU-DE,
CE-GA,
PI-ÃO,
TE-LE-FO-NE,
PE-TE-CA,
E-LÁS-TI-CO,
PU-LA- -COR-DA,
A-MA-RE-LI-NHA,
LI-NHA,
QUEI-MA-DA,
BI-LA,
BO-LA,
BO-NE-CA,
CA-BO,
CI-RAN-DA,
CAR-RI-NHO,
COR-DA,
BRIN-QUE-DO,
BRIN-QUE-DOS,
BAM-BO-LÊ,
A-VI-ÃO,
TREN-ZI-NHO
BRIN-CAR,
CAI-XA,
BRIN-QUE-DO,
VO-LAN-TE,
BAR-BAN-TE,
CA-NE-TA,
ES-TAN-TE,
PA-LHA-ÇO,
DA-QUE-LE,
A-MI-GOS,
MA-LU-QUI-CE,
GA-MÃO,
GAN-GOR-RA,
GRI-LO,
GA-TO,
RO-DA,
RO-LE-TA,
RO-BÔ,
RES-TA- -UM,
TAN-GRAM,
TRI-CI-CLO,
TAM-BOR,
GA-RO-TI-NHO,
FÁ-BRI-CA,
BRIN-QUE-DOS,
CA-SA,
PA-PE-LÃO,
CA-NE-TI-NHAS,
ES-TOU-RO,
CAR-RO- -CO-LO-RI-DO,
BRAN-CO,
TE-CI-DO,
CA-NOS,
VEN-TI-LA-DOR,
MÁ-QUI-NA,
PO-RO-RÓ,
PI-PO-CA,
CAR-RO,
co-res,
A-ZUL,
A-MA-RE-LO,
LA-RAN-JA,
ca-rac-te-rís-ti-cas,
IN-VEN-TOR,
EN-GRA-ÇA-DO,
DI-VER-TI-DO,
IN-VEN-ÇÃO,
SE-GRE-DO,
A-ÇÃO,
I-MA-GI-NA-ÇÃO,
ES-CO-LA,
CO-LA,
BRIN-QUE-DO,
ME-DO,
DE-CLA-RAR,
RE-SER-VA-DO,
TRA-DU-ZIR,
RE-A-LI-ZAR,
mis-té-rio,
CHA-VE,
SE-MEN-TE,
SE-RES-TA,
SA-BI-Á,
DIS-CRE-TO,
FO-FO-CA,
GUAR-DAR,
MEN-SA-GEM,
DE-CI-FRAR,
SA-PO,
GA-TO,
RA-TO,
DRA-GÃO,
ON-ÇA,
CU-RI-O-SO,
jo-ão-zi-nho,
CÓ-DI-GO,
PRE-O-CU-PA-ÇÃO,
IN-SE-GU-RAN-ÇA,
A-FLI-ÇÃO,
pa-la-vras,
có-di-gos,
in-fân-cia,
RA-BO,
PNEU,
A-BA-JU,
ZE-BU,
PA-NE-LA,
E-LI-MI-NA-ÇÃO,
E-LI-MI-NA-DA,
E-LI-MI-NA,
di-nhei-ro,
LUZ,
E-co-no-mi-a,
des-per-dí-cio,
ROU-PA,
ROU-PAS,
BAL-DE,
ES-PON-JA,
TOR-NEI-RA,
CO-POS,
LI-TROS,
CHU-VEI-RO,
man-guei-ra,
LI-GUE,
DES-LI-GUE,
DES-CAR-GA,
CAR-GA,
LE-GAIS,
E-CO-NO-MI-ZAR,
ES-POR-TE,
SE-LE-TI-VA
CI-DA-DE,
A-LI-MEN-TO,
FI-XO,
CLI-PE,
RE-CI-CLA,
SA-CO-LA,
PO-TES,
FO-TO,
ES-PE-LHO,
a-crí-li-co,
CO-LE-TO-RES,
a-ves-truz,
CO-LE-TOR,
AN-DA-VA,
ba-nha-va,
CA-ÇA-VA,
A-ÇU-DE,
VA-GA- -LU-ME,
NI-NHO,
A-NI-MAIS,
E-MO-ÇÕES,
A-NI-MA-ÇÃO,
CA-RI-NHO,
HI-PO-PÓ-TA-MO,
U-RU-BU,
NA-TU-RE-ZA,
INV-ER-NO,
U-VA,
LU-VA,
A-SA,
DA-NI-EL,
A-DO-LE-TA,
A-BE-LHA,
cli-ni-car,
var-rer,
cons-tru-ir,
pe-drei-ro,
fa-xi-nei-ra,
pro-fis-são,
es-te-tos-có-pio,
vas-sou-ra,
pru-mo,
pro-fes-sor,
fo-guei-ra,
ar-rai-á,
