word,gender
a-bel,m
a-bra-ão,m
a-dal-ber-to,m
a-dal-gi-sa,f
a-dão,m
a-de-mar,m
a-dri-a-na,f
a-dri-a-no,m
a-é-ci-o,m
a-la-í-de,f
a-lan,m
a-la-na,f
a-la-nis,f
al-ba,f
al-ber-to,m
al-ceu,m
al-ci-o-ne,f
al-do,m
a-len-car,m
a-les-san-dro,m
a-lex,m
al-fre-do,m
a-li-ce,f
a-li-cia,f
a-li-ne,f
al-mir,m
a-lu-í-sio,m
al-va-ro,m
a-ma-deu,m
a-ma-li-a,f
a-man-da,f
a-mau-ri,m
a-mé-lia,f
a-mé-ri-co,m
a-mil-car,m
a-mir,m
a-na,f
an-dré,m
an-dréa,f
an-gel,f
an-ge-la,f
an-ge-lo,m
a-ni-bal,m
a-ni-ta,f
an-te-ro,m
an-tô-nia,f
an-tô-nio,m
a-po-lo,m
ar-lin-do,m
ar-man-do,m
ar-nal-do,m
au-gus-ta,f
au-gus-to,m
au-ré-lia,f
au-ré-lio,m
bar-ba-ra,f
ba-tis-ta,m
be-a-triz,f
ben-to,m
ber-nar-do,m
be-tâ-nia,f
be-to,m
bi-an-ca,f
bo-li-var,m
bo-ni-fá-cio,m
bos-co,m
bras,m
bre-no,m
bru-na,f
bru-no,m
ca-e-ta-no,m
cai-o,m
ca-mi-la,f
ca-mi-lo,m
cam-po,m
car-la,f
car-li-to,m
car-los,m
car-men,f
ca-rol,f
ca-ro-li-na,f
ca-si-mi-ro,m
cás-sia,f
cás-sio,m
ce-cí-lia,f
ce-les-te,f
cé-lia,f
ce-li-na,f
cé-lio,m
cel-so,m
ce-sar,m
ci-be-le,f
cín-tia,f
ci-ri-lo,m
ci-ro,m
cla-ra,f
cla-ris-sa,f
cláu-dia,f
cláu-dio,m
cle-ber,m
clei-de,f
clé-lia,f
clé-sio,m
cris-ti-a-ne,f
cris-ti-a-no,m
cris-ti-na,f
da-ni-el,m
da-ni-e-la,f
da-ni-lo,m
dan-te,m
da-ri-o,m
dé-bo-ra,f
de-nis,m
de-ni-se,f
di-a-na,f
di-e-go,m
dil-ma,f
di-o-go,m
dir-ceu,m
do-lo-res,f
do-min-gos,m
dur-val,m
e-der,m
e-dil-son,m
ed-mil-son,m
ed-na,f
ed-son,m
e-du-ar-da,f
e-du-ar-do,m
e-lai-ne,f
e-le-na,f
e-li-a-ne,f
e-li-as,m
e-li-da,f
e-li-e-zer,m
e-li-sa,f
e-li-seu,m
e-loi-sa,f
el-vi-ra,f
el-za,f
e-ma-nu-e-le,f
e-mí-lia,f
e-mí-lio,m
e-nei-da,f
e-re-nil-da,f
é-ri-ca,f
er-lai-ne,f
er-mí-nia,f
er-na-ni,m
er-nes-to,m
el-des,m
es-te-la,f
es-ter,f
es-te-vão,m
eu-gê-nia,f
eu-gê-nio,m
eu-lá-lia,f
eu-ni-ce,f
eu-ri-co,m
eu-zé-bio,m
e-va,f
e-van-dro,m
e-ve-ral-do,m
fá-bia,f
fa-bi-a-na,f
fa-bi-a-ne,f
fa-bi-a-no,m
fá-bio,m
fa-bio-la,f
fa-brí-cia,f
fa-brí-cio,m
fá-ti-ma,f
faus-to,m
fe-li-pe,m
fe-lix,m
fer-nan-da,f
fer-nan-do,m
fi-lo-me-na,f
flá-via,f
fla-vi-a-na,f
flá-vio,m
flo-ra,f
fran-cis-co,m
ga-bri-el,m
ga-bri-e-la,f
gar-de-nia,f
gas-par,m
ge-or-ge,m
ge-or-gia,f
ge-ral-da,f
ge-ral-do,m
ger-ma-na,f
ger-ma-no,m
ge-tú-lio,m
gil-ber-to,m
gil-da,f
gil-son,m
gil-van,m
gi-na,f
gi-o-va-ni,m
gi-o-va-na,f
gi-se-le,f
gló-ria,f
go-re-te,f
grá-cia,f
gui-lher-me,m
gus-ta-vo,m
ha-rol-do,m
hei-tor,m
hel-der,m
he-len,f
he-le-na,f
hel-ga,f
hé-lio,m
he-lo-í-sa,f
he-ral-do,m
her-cu-les,m
her-ma-no,m
hil-da,f
ho-rá-cio,m
hor-tên-cia,f
hum-ber-to,m
í-ca-ro,m
i-gor,m
i-la-na,f
i-lá-rio,m
il-ton,m
i-ma-cu-la-da,f
i-ná-cio,m
i-na-ra,f
i-nês,f
in-grid,f
i-o-lan-da,f
i-o-ne,f
i-ra-ce-ma,f
i-re-ne,f
i-ri-neu,m
i-ris,f
i-sa-ac,m
i-sa-que,m
i-sa-bel,f
i-sa-be-la,f
i-sa-do-ra,f
i-sai-as,m
i-sis,f
is-ma-el,m
is-ra-el,m
i-van,m
i-va-na,f
i-va-ni,f
i-ve-te,f
i-vo,m
i-vo-ne,f
i-vo-ne-te,f
ja-de,f
jai-me,m
ja-ir,m
jai-ro,m
ja-na-í-na,f
ja-ne-te,f
ja-que-li-ne,f
jef-fer-son,m
je-re-mi-as,m
je-sus,m
jo-a-na,f
jo-ão,m
jo-a-quim,m
jo-el,m
jo-nas,m
jor-da-na,f
jor-ge,m
jo-sé,m
jo-se-fi-na,f
jo-sel-ma,f
jo-su-al-do,m
jo-su-é,m
joy-ce,f
ju-ci-le-ne,f
ju-das,m
ju-di-te,f
jú-lia,f
ju-li-a-na,f
ju-li-e-ta,f
jú-lio,m
ju-re-ma,f
jus-ce-li-no,m
jus-sa-ra,f
ka-mi-la,f
ka-ri-na,f
ka-ri-ne,f
ká-tia,f
kel-ly,f
ké-nia,f
ken-nedy,m
ken-zo,m
ke-vin,m
klaus,m
kle-ber,m
klei-ton,m
la-í-la,f
la-ís,f
lai-sa,f
la-ra,f
la-ris-sa,f
lau-ra,f
lau-ro,m
la-ví-nia,f
le-an-dro,m
lê-da,f
lei-la,f
le-ni-se,f
le-no-ra,f
leo,m
le-o-nar-do,m
le-tí-cia,f
le-vi,m
lí-dia,f
lí-gia,f
li-li-an,f
li-li-a-na,f
li-li-a-ne,f
lin-da,f
lis,f
lí-via,f
lo-re-na,f
lu-a-na,f
lu-cas,m
lú-cia,f
lu-ci-a-na,f
lu-ci-a-ne,f
lu-ci-a-no,m
lu-ci-e-ne,f
lú-cio,m
lud-mi-la,f
lu-ís,m
lu-í-sa,f
lu-íz,m
lur-des,f
lu-zi-a,f
ma-ci-el,m
ma-da-le-na,f
ma-ga-li,f
mag-da,f
ma-í-ra,f
ma-lu,f
ma-no-el,m
ma-nu-e-la,f
ma-ra,f
mar-ce-la,f
mar-ce-lo,m
mar-ci-a,f
mar-ci-a-no,m
mar-cí-lio,m
mar-ci-o,m
mar-co,m
mar-cos,m
mar-ga-re-te,f
mar-ga-ri-da,f
ma-ri-a,f
ma-ri-a-na,f
ma-ri-a-ne,f
ma-ri-a-no,f
ma-ril-da,f
ma-ri-le-na,f
ma-rí-lia,f
ma-ri-na,f
má-rio,m
ma-ri-sa,f
ma-ris-te-la,f
mar-le-ne,f
mar-ta,f
ma-teus,m
ma-ti-as,m
ma-til-de,f
mau-rí-cio,m
mau-ro,m
me-lis-sa,f
mi-guel,m
mi-le-na,f
mi-le-ne,f
mil-ton,m
mi-ri-am,f
mo-a-cir,m
moi-ses,m
mu-rí-lio,m
ná-dia,f
nai-a-ra,f
na-ir,f/m
nar-cí-so,m
na-tá-lia,f
na-ta-na-el,m
né-lio,m
nel-son,m
neu-za,f
new-ton,m
ney,m
ní-cia,f
ní-co-las,m
ni-co-le,f
nil-da,f
nil-ton,m
ni-na,f
ni-val-do,m
ní-via,f
no-e-mi-a,f
nor-ma,f
nú-bia,f
o-da-ir,m
o-de-te,f
o-dí-lia,f
o-fé-lia,f
o-la-vo,m
ol-ga,f
o-lím-pia,f
o-lívia,f
o-no-fre,m
or-feu,m
or-lan-do,m
os-car,m
o-sí-as,m
os-mar,m
o-só-rio,m
os-wal-do,m
o-ta-cí-lio,m
o-tá-via,f
o-ta-vi-a-no,m
o-tá-vio,m
o-te-lo,m
o-tí-lia,f
o-zé-ias,m
pa-blo,m
pa-me-la,f
pa-o-la,f
pas-co-al,m
pa-trí-cia,f
pau-la,f
pau-lo,m
pe-dri-na,f
pe-dri-ta,f
pe-dro,m
pi-e-ro,m
plá-ci-do,m
plí-nio,m
po-li-a-na,f
pris-ci-la,f
qué-nia,f
quin-cas,m
qui-ri-no,m
qui-té-ria,f
ra-fa-el,m
ra-fa-e-la,f
rai-mun-do,m
ra-ís-sa,f
ra-quel,f
re-be-ca,f
re-gi-na,f
re-gi-nal-do,m
re-ja-ne,f
re-na-ta,f
re-na-to,m
ri-car-do,m
ri-ta,f
ro-ber-ta,f
ro-ber-to,m
rob-son,m
ro-dri-go,m
ro-gé-ria,f
ro-gé-rio,m
ro-meu,m
rô-mu-lo,m
ro-nal-do,m
ro-sa,f
ro-sa-li,f
ro-sá-lia,f
ro-sa-na,f
ro-san-ge-la,f
ro-se-a-ne,f
ro-se-li,f
ro-si-cler,f
ru-bens,m
sa-bri-na,f
sa-le-te,f
sal-va-dor,m
sal-vio,m
sa-man-ta,f
sâ-mia,f
sa-mi-ra,f
sa-mu-el,m
san-dra,f
san-dro,m
sa-ra,f
se-bas-ti-ão,m
sel-ma,f
ser-gio,m
si-be-le,f
si-las,m
sil-ma-ra,f
sil-va-na,f
sil-vé-rio,m
síl-via,f
síl-vio,m
si-mo-ne,f
so-cra-tes,m
so-fia,f
so-lan-ge,f
sô-nia,f
so-ra-i-a,f
su-e-li,f
su-san,f
su-za-na,f
ta-deu,m
ta-í-na,f
ta-li-ta,f
tâ-nia,f
tar-ci-a-na,f
tar-cí-sio,m
ta-ti-a-na,f
tel-ma,f
te-o-do-ra,f
te-o-do-ro,m
te-re-za,f
ti-ci-a-na,f
ti-mó-teo,m
tor-qua-to,m
u-bal-di-no,m
u-bal-do,m
u-bi-ra-ja-ra,m
ú-lis-ses,m
um-ber-to,m
u-râ-ni-a,f
ur-ba-no,m
ur-su-la,f
ur-su-li-na,f
val-dir,m
va-len-ti-na,f
va-len-ti-no,m
va-lé-ria,f
va-les-ca,f
val-nir,m
va-nes-sa,f
vâ-nia,f
va-nu-sa,f
vas-co,m
ve-ra,f
ve-ri-di-a-na,f
ve-rô-ni-ca,f
vi-cen-te,m
vi-ni-ci-us,m
vir-gí-ni-a,f
vi-tor,m
vi-tó-ria,f
vi-vi-an,f
vi-vi-a-ne,f
wag-ner,m
wal-dir,m
wal-quí-ria,f
wan-da,f
wan-der,m
wan-der-lei-a,f
wan-do,m
wa-nes-sa,f
wel-ling-ton,m
wen-dy,f
wes-ley,m
wil-ma,f
wil-son,m
xa-qui-ra,f
xa-vi-er,m
xê-nia,f
ya-go,m
yan,m
ya-ra,f
yas-min,f
y-glé-sio,m
yo-lan-da,f
yo-ne,f
yu-ki,m
yu-ri,m
za-ca-ri-as,m
za-i-da,f
za-i-ra,f
zé-lia,f
ze-lin-da,f
zé-lio,m
ze-li-ta,f
ze-nai-de,f
ze-nir,f
zéus,m
zi-la,f
zil-da,f
zil-ma,f
zi-ral-do,m
zo-rai-de,f
zó-zi-mo,m
SA-LO-MÃO,m
JU-LI-ÃO,m
BIA,f
BI-A-NA,f
BAR-BO-SA,m
A-GA-ME-NON,m
JU-RAN-DIR,m
JO-CA,m
A-NAS-TÁ-CI-A,f
RO-MÃO,m
